,df_path
0,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_0.csv
1,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_1.csv
2,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_2.csv
3,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_3.csv
4,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_4.csv
5,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_5.csv
6,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_6.csv
7,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_7.csv
8,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_8.csv
9,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_9.csv
10,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_10.csv
11,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_11.csv
12,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_12.csv
13,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_13.csv
14,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_14.csv
15,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_15.csv
16,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_16.csv
17,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_17.csv
18,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_18.csv
19,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_19.csv
20,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_20.csv
21,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_21.csv
22,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_22.csv
23,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_23.csv
24,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_24.csv
25,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_25.csv
26,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_26.csv
27,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_27.csv
28,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_28.csv
29,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_29.csv
30,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_30.csv
31,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_31.csv
32,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_32.csv
33,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_33.csv
34,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_34.csv
35,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_35.csv
36,data/cancer_example/gpt2/10k/gpt2_bcancer_10k_36.csv
