,df_path
0,data/cancer_example/gpt2/gpt2_bcancer_0.csv
1,data/cancer_example/gpt2/gpt2_bcancer_1.csv
2,data/cancer_example/gpt2/gpt2_bcancer_2.csv
3,data/cancer_example/gpt2/gpt2_bcancer_3.csv
4,data/cancer_example/gpt2/gpt2_bcancer_4.csv
5,data/cancer_example/gpt2/gpt2_bcancer_5.csv
6,data/cancer_example/gpt2/gpt2_bcancer_6.csv
7,data/cancer_example/gpt2/gpt2_bcancer_7.csv
8,data/cancer_example/gpt2/gpt2_bcancer_8.csv
9,data/cancer_example/gpt2/gpt2_bcancer_9.csv
10,data/cancer_example/gpt2/gpt2_bcancer_10.csv
11,data/cancer_example/gpt2/gpt2_bcancer_11.csv
12,data/cancer_example/gpt2/gpt2_bcancer_12.csv
13,data/cancer_example/gpt2/gpt2_bcancer_13.csv
14,data/cancer_example/gpt2/gpt2_bcancer_14.csv
15,data/cancer_example/gpt2/gpt2_bcancer_15.csv
16,data/cancer_example/gpt2/gpt2_bcancer_16.csv
17,data/cancer_example/gpt2/gpt2_bcancer_17.csv
18,data/cancer_example/gpt2/gpt2_bcancer_18.csv
19,data/cancer_example/gpt2/gpt2_bcancer_19.csv
20,data/cancer_example/gpt2/gpt2_bcancer_20.csv
21,data/cancer_example/gpt2/gpt2_bcancer_21.csv
22,data/cancer_example/gpt2/gpt2_bcancer_22.csv
23,data/cancer_example/gpt2/gpt2_bcancer_23.csv
24,data/cancer_example/gpt2/gpt2_bcancer_24.csv
25,data/cancer_example/gpt2/gpt2_bcancer_25.csv
26,data/cancer_example/gpt2/gpt2_bcancer_26.csv
27,data/cancer_example/gpt2/gpt2_bcancer_27.csv
28,data/cancer_example/gpt2/gpt2_bcancer_28.csv
29,data/cancer_example/gpt2/gpt2_bcancer_29.csv
30,data/cancer_example/gpt2/gpt2_bcancer_30.csv
31,data/cancer_example/gpt2/gpt2_bcancer_31.csv
32,data/cancer_example/gpt2/gpt2_bcancer_32.csv
33,data/cancer_example/gpt2/gpt2_bcancer_33.csv
